Nr	Format
189	In select instances, a variety of definitive spectroscopic techniques may provide sufficient characterization (for example, if many of the nuclei are NMR active), but in the majority of cases evidence for elemental constitution must be provided by either elemental analysis (e.g., combustion analysis, microprobe analysis), or mass spectrometry
190	In many cases, X-ray diffraction may provide the most unambiguous characterization of such complexes, but this will not suffice as the only means of characterization
191	In electron spectra, wavelengths (in nm) or wavenumbers (in cm–1 ) are given on the abscissa in ascending order from left to right.
192	In describing spectra, signal types are indicated in abbreviated form: s, singlet; d, doublet; t, triplet; q, quartet; quint, quintet; and m, multiplet. Proton chemical shifts are given in the δ scale, for example, δ 5.24 m.
193	In cases where intermolecular interactions are relevant to the discussion, a view of the unit cell may be included
194	In cases of unindexed listing of the data, the d spacings of all observed lines should be listed in sequence, together with their relative intensities
195	NMR spectra, millionths of a field (ppm) are given on the abscissa axis; the maximum signal of a solvent or a reference sample may be outside the graph field.
196	HRMS (High Resolution Mass Specroscopy? S.G.) data
197	If the spectra are given, the wavenumbers (cm–1 ) (in descending order from left to right) or frequencies in accordance with the scale of the spectrometer are placed along the lower abscissa axis; the upper abscissa axis can reflect wavelength data (µm).
198	software used for calculations must be properly cited
199	If possible, the crystal system should be specified
200	1H NMR
201	13C NMR
202	hplc
203	glpc
204	gel electrophoresis
205	hplc or glpc methods: then retention times for both enantiomers must be provided, together with solvent and flow rate information, and identification of the chiral support
206	calculations that are integral to the study (i.e., the precise quantitative results are central to the conclusions drawn); computational details must be described
207	If a file name has not yet been obtained upon acceptance of a paper, it must be added in proof
208	IR spectrum (summary? S.G.), ν, cm –1 : 3350 br (NH, NOH), 2100 o.s (C≡N), 1700–1600 s (C=O, C=N)
209	IR and Raman spectra themselves are usually not presented
210	IR / Raman
211	Human genomic structural variation data (>50bp)
212	Human geno- and phenotype data, epigenetics
213	Human genetic variation data (<=50bp), e.g. single-base nucleotide substitutions, small-scale deletion or insertions
214	printed table of structure factors
215	High-throughput functional genomics data
216	For new substances, evidence of the homogeneity the purified sample should be included
217	1H NMR chemical shifts to two digits after the decimal point
218	13C chemical shifts to one digit after the decimal point, unless an additional digit will help distinguish overlapping peaks
219	Geochemical, geochronological, and petrological data
220	Genome sequence data
221	Genome assembly data
222	Genetic variation data
223	Genetic polymorphism data, including SNP and CNV data
224	Genetic and genomic sequence (DNA/RNA)
225	Gene expression data, array- and sequence-based
226	Gene expression data
227	Functional genomics data
228	Functional enzymology data (kinetic and experimental data)
229	For structures with anisotropically refined atoms, a figure displaying the thermal ellipsoids
230	For quantitative optical measurements, the specifics and usable range of the photodetector should be reported
231	For publication in the Journal of the American Chemical Society, the reporting of
232	kinetic data and equilibrium binding data for proteins, nucleic acids, and other species
233	For non-racemic, chiral substances, data to allow correlation of absolute configuration should be given, preferably including [α]D values
234	new NMR pulse sequences –  file that includes the original working pulse sequence information required to record data
235	IR spectroscopy may be used to support the presence of carbonyl, acyl, dinitrogen, carbonyl, and hydride moieties
236	method of crystallization (solvents; mp; etc.)
237	For all newly synthesized compounds, the elemental analysis data or high-resolution mass spectra should be provided
238	TLC; For TLC, the adsorbent, eluent, and developing reagent should be given
239	TLC; For TLC, the adsorbent, eluent, and developing reagent should be given
240	Fluorescence sensors
241	Flow cytometry data
242	Fits of magnetic data [χ(T), χ-1(T), χT(T), μ(T), M(H), etc.] to an analytical expression must include both the Hamiltonian from which the analytical expression is derived and the final analytical expression and fitting parameters
243	Files must be submitted in their native format
244	Enzymology and biocatalysis data
245	Environmental and ecological data
246	Electrophoretic gels and blots
247	Electrochemistry Data
248	EPR
249	NMR spectroscopy
250	final output structure(s) or the input structure(s) that would allow another investigator to replicate the computational experiment
251	final output structure(s) or the input structure(s) that would allow another investigator to replicate the computational experiment
252	Data linking genotype to phenotype
253	X-ray powder measurements should be accompanied by details of the experimental technique: source of X-rays, the radiation, its wavelength, filters or monochromators, camera diameter, the type of X-ray recording, and the technique for measuring intensities
254	Nuclear Magnetic Resonance Pulse Sequences
255	DNA sequence data
256	RNA sequence data
257	Genome assembly data
258	Protein sequence data
259	Proteomics data
260	Genetic variation data
261	Functional genomics data
262	Macromolecular structure data
263	Gene expression data
264	Crystallographic data for small molecules
265	DNA sequence data
266	DNA and RNA trace or short-read sequencing data
267	DNA & RNA sequence data
268	Crystallographic data for small molecules
269	Crystallographic Data (Powder)
270	Crystal structure (powder)
271	Crystal structure (inorganic)
272	Crystal structure (biological)
273	CryoEM
274	Convergence criteria should be reported (e.g., energy change per iteration or energy gradient for geometry optimization of a single structure)
275	Convergence criteria should be reported (e.g., energy change per iteration or energy gradient for geometry optimization of a single structure)
276	Confirmation of Structure
277	Conditions essential to reproduce the results such as the temperature, pH, and pressure (if other than atmospheric) of the assay
278	Computer Codes
279	Computational studies and modelling
280	Computational results
281	Computational materials science
282	Computational chemistry files
283	Computational Reports
284	Computational Chemistry Calculations
285	Computational Chemistry
286	Compound Characterization, Experimental, and Computational Data
287	Compound Characterization Checklist
288	CIF
289	Combinatorial Chemistry  Validation of methods and characterization of new substances in a statistically significant sampling
290	Coherent X-ray images
291	Climate or Earth system research – climate model data
292	Chemical shifts
293	Chemical shifts of nuclei 13C, 31P, etc.
294	Characterization of Organometallic and Inorganic Compounds
295	Characterization of Organic Compounds
296	Characterization of New Substances
297	Characterization of New Compounds
298	Characterization data and experimental details
299	Characterization Data (a) Routine Compounds
300	Characterization Data  (a) Routine Compounds
301	Characterisation of compounds and materials
302	Cell lines: what cell lines were used by describing the source of the cell line, including when and from where it was obtained, whether the cell line has recently been authenticated and by what method
303	Cell Lines and Microorganisms
304	Catalysts
305	CIF
306	PDB
307	CIF
308	CIF
309	CIF
310	Brain imaging data
311	Biomolecules (for example, enzymes, proteins, DNA/RNA, oligosaccharides, oligonucleotides)
312	Biomolecules
313	Biomolecule Structures
314	Biological Specimens
315	Bioimages, multidimensional life sciences image data (cell and tissue)
316	Batteries. Crystal structure (organic / organometallic / metal organic), nanomaterials
317	Batteries. Crystal structure (organic / organometallic / metal organic), Inorganic and organometallic compounds
318	Batteries
319	electronic structure calculations: the geometries (either as Cartesian coordinates or Z matrices) of all the stationary points whose relative energies are given in the manuscript
320	Authors are required to provide crystallographic or surface structure data as Supporting Information in crystallographic information file (CIF) format
321	Authors are required to deposit the following mandatory data types in public, community-supported repositories, such as those listed below, prior to publication of an associated Frontiers manuscript
322	Authors are required to correct/defend/or respond to any A-level alerts
323	Authors are referred to the STRENDA (Standards for Reporting Enzymology Data) Commission of the Beilstein Institut (http://www.beilstein-institut.de/en/projects/strenda/guidelines) for an example of detailed guidelines
324	Authors are encouraged to consider deposition in public, community-supported repositories of the data-types listed below
325	Atomic coordinates and structure factors
326	Atomic coordinates
327	Atom ratios as determined by, for example, microprobe analysis of selected elements may be sufficient for this purpose  (d) Compounds that have not been isolated  Compounds that have not been isolated in pure form (e.g
328	Atmospheric and earth observation research, environmental data
329	At minimum, the spectral window should be ‒1 ppm to 9 ppm for 1H NMR and ‒10 ppm to 180 ppm for 13C NMR
330	Assign peak identities under the following circumstances: non-decoupled or equivalent spectra have been collected (13C, 31P, etc.)
331	Any subsequent revisions to the CIFs or structure factor tables should be deposited directly with the CCDC before resubmitting the manuscript in ACS Paragon Plus
332	Any set of atomic coordinates referred to in the manuscript, including atomic coordinates and structure factors for proteins determined by X-ray crystallography and coordinates determined by NMR, should be deposited with the Protein Data Bank, Research Collaboratory for Structural Bioinformatics at Rutgers University whenever appropriate
333	Any reported syntax errors should be corrected
334	Any data
335	Antibodies:
336	An example of such a description is as follows. IR spectrum, ν, cm –1 : 3350 br (NH, NOH), 2100 o.s (C≡N), 1700–1600 s (C=O, C=N)
337	An example of such a description is as follows
338	An Article should list for each structure the formula, formula weight, crystal system, space group, color of crystal, unit cell parameters, temperature of data collection, and values of Z, R, and GOF
339	Along with crystallographic data (cell parameters, space group, etc.), in the experimental part, authors should specify the device with which the measurements were performed and the methods (programs) used for decrypting structures and for calculations
340	spectroscopic data as follows: - In electron spectra, wavelengths (in nm) or wavenumbers (in cm–1 ) are given on the abscissa in ascending order from left to right
341	crystallographic data (cell parameters, space group, etc.); the device with which the measurements were performed and the methods (programs) used for decrypting structures and for calculations
342	proteomics data
343	1H NMR spectrum; peaks should be integrated
344	1/d2 values should be listed (exclusive of systematic absences) (crystall scattering data – S.G.)
345	Adequate evidence to firmly establish both identity and purity should be provided
346	A representation of the compound should be included on the spectrum — please use ChemDraw or a related program
347	ChemDraw or a related program images
348	13C NMR
349	Solid State Materials Compounds in this category are those that have no existence in solution
350	Novel or Unexpected Compounds Compounds in this category are those that either (i) exhibit an unprecedented type of structure, or (ii) are obtained by unexpected reaction
351	Routine Compounds
352	Electron Diffraction
353	Powder Diffraction Data
354	Crystal Structure Studies
355	Structure Reports in Articles
356	imaginary frequencies should be reported to identify stable structures and transition states
